12424,42.27,-74.21
12427,42.14,-74.10
12428,41.70,-74.36
12429,41.80,-73.96
12430,42.15,-74.53
12431,42.38,-74.06
12432,42.04,-73.95
12433,42.00,-74.15
12435,41.72,-74.52
12436,42.20,-74.09
12438,42.20,-74.60
12439,42.25,-74.22
12441,42.16,-74.45
12442,42.21,-74.21
12444,42.27,-74.28
12446,41.77,-74.29
12448,42.07,-74.20
12449,41.98,-73.99
12450,42.15,-74.20
12451,42.30,-73.94
12452,42.20,-74.36
12453,42.10,-73.93
12454,42.29,-74.15
12456,42.03,-74.00
12460,42.40,-74.14
12461,41.89,-74.24
12465,42.13,-74.47
12466,41.90,-73.97
12470,42.26,-74.00
12471,41.81,-74.04
12472,41.84,-74.06
12473,42.27,-74.06
12474,42.28,-74.56
12475,42.00,-74.01
12477,42.07,-73.94
12480,42.12,-74.39
12482,42.27,-73.96
12483,41.66,-74.42
12484,41.86,-74.17
12485,42.19,-74.13
12486,41.83,-74.06
12487,41.86,-73.99
12489,41.73,-74.37
12490,42.12,-73.92
12491,42.00,-74.11
12492,42.18,-74.34
12493,41.78,-73.96
12494,41.96,-74.28
12495,42.09,-74.20
12496,42.30,-74.25
12498,42.03,-74.11
12501,41.84,-73.55
12502,42.05,-73.63
12503,42.03,-73.57
12504,41.99,-73.83
12506,41.87,-73.69
12507,41.99,-73.92
12510,41.67,-73.80
12511,41.53,-73.89
12512,41.59,-73.89
12514,41.87,-73.76
12515,41.69,-74.04
12516,42.10,-73.55
12517,42.14,-73.50
12518,41.41,-74.04
12520,41.43,-74.01
12521,42.16,-73.65
12522,41.74,-73.58
12523,42.04,-73.79
12525,41.68,-74.18
12526,42.11,-73.85
12528,41.71,-73.96
12529,42.20,-73.54
12530,42.20,-73.67
12531,41.53,-73.66
12533,41.58,-73.80
12534,42.25,-73.78
12540,41.67,-73.73
12541,42.13,-73.76
12542,41.60,-73.97
12543,41.48,-74.21
12544,42.26,-73.68
12545,41.78,-73.69
12547,41.65,-73.96
12548,41.64,-74.10
12551,41.50,-74.02
12553,41.47,-74.02
12555,41.53,-74.04
12561,41.74,-74.08
12563,41.50,-73.58
12567,41.97,-73.65
12568,41.62,-74.08
12569,41.74,-73.82
12571,41.99,-73.87
12572,41.92,-73.90
12575,41.47,-74.16
12577,41.44,-74.12
12578,41.80,-73.80
12580,41.84,-73.92
12582,41.54,-73.73
12583,42.05,-73.91
12585,41.71,-73.70
12586,41.55,-74.18
12588,41.62,-74.37
12589,41.60,-74.16
12590,41.59,-73.91
12592,41.78,-73.54
12593,42.09,-73.58
12594,41.64,-73.56
12602,41.69,-73.92
12719,41.47,-74.91
12720,41.68,-74.87
12722,41.59,-74.38
12723,41.76,-75.05
12724,41.83,-74.94
12725,41.91,-74.57
12726,41.70,-75.06
12727,41.65,-74.98
12729,41.47,-74.63
12732,41.52,-74.88
12733,41.73,-74.60
12734,41.77,-74.73
12736,41.84,-75.04
12738,41.65,-74.58
12740,41.84,-74.54
12741,41.81,-75.08
12742,41.71,-74.72
12743,41.52,-74.85
12745,41.76,-75.03
12746,41.41,-74.63
12747,41.73,-74.67
